   indexX       indexY         intexZ      phi   
+4      +46     +32     -2.89812e-18     +5.31871
+4      +47     +32     +7.71913e-18     +5.04912
+4      +48     +32     -3.14254e-18     +4.77407
+4      +49     +32     +9.40571e-19     +4.49492
+4      +50     +32     +6.62510e-18     +4.21282
+4      +51     +32     -1.38612e-18     +3.92878
+4      +52     +32     -1.84983e-18     +3.64367
+4      +53     +32     -4.12853e-18     +3.35819
+4      +54     +32     +1.02768e-17     +3.07289
+4      +55     +32     -4.49200e-18     +2.78823
+4      +56     +32     -1.02877e-18     +2.50449
+4      +57     +32     -1.38470e-18     +2.22189
+4      +58     +32     -2.63051e-18     +1.94054
+4      +59     +32     +4.12173e-18     +1.66045
+4      +60     +32     +1.72427e-19     +1.38158
+4      +61     +32     +2.10678e-19     +1.10381
+4      +62     +32     -2.02827e-18     +0.826985
+4      +63     +32     +8.25923e-19     +0.550897
+5      +1     +32     +2.95041e-18     +0.661883
+5      +2     +32     +2.04735e-19     +0.993663
+5      +3     +32     +3.47738e-18     +1.32642
+5      +4     +32     -2.22571e-18     +1.66042
+5      +5     +32     -1.51928e-18     +1.99589
+5      +6     +32     +1.70746e-18     +2.33299
+5      +7     +32     -8.57015e-19     +2.67181
+5      +8     +32     -3.27570e-18     +3.01237
+5      +9     +32     +2.89838e-19     +3.35456
+5      +10     +32     +4.34795e-18     +3.69816
+5      +11     +32     +2.18522e-19     +4.04284
+5      +12     +32     -4.47995e-19     +4.38809
+5      +13     +32     -3.26752e-18     +4.73327
+5      +14     +32     +3.31738e-18     +5.07753
+5      +15     +32     +2.83048e-18     +5.41987
+5      +16     +32     +2.17878e-18     +5.75907
+5      +17     +32     +1.08179e-18     +6.09371
+5      +18     +32     -3.78599e-18     +6.42216
+5      +19     +32     +6.37398e-18     +6.74261
+5      +20     +32     +2.81965e-18     +7.05304
+5      +21     +32     -5.82897e-19     +7.35129
+5      +22     +32     -3.09538e-18     +7.63503
+5      +23     +32     -7.70238e-19     +7.90186
+5      +24     +32     -5.01982e-19     +8.14929
+5      +25     +32     +3.39611e-18     +8.37486
+5      +26     +32     +4.75697e-19     +8.57616
+5      +27     +32     -5.64343e-20     +8.75090
+5      +28     +32     -9.57064e-19     +8.89702
+5      +29     +32     +1.08411e-18     +9.01268
+5      +30     +32     +1.21798e-17     +9.09641
+5      +31     +32     -1.22635e-18     +9.14710
+5      +32     +32     +2.19836e-18     +9.16407
+5      +33     +32     -6.63038e-19     +9.14710
+5      +34     +32     +8.10979e-18     +9.09641
+5      +35     +32     +6.31239e-18     +9.01268
+5      +36     +32     -4.54283e-18     +8.89702
+5      +37     +32     +6.21782e-18     +8.75090
+5      +38     +32     -6.62265e-19     +8.57616
+5      +39     +32     +2.74106e-18     +8.37486
+5      +40     +32     -2.80625e-19     +8.14929
+5      +41     +32     -2.96602e-19     +7.90186
+5      +42     +32     -1.38818e-18     +7.63503
+5      +43     +32     -9.60156e-19     +7.35129
+5      +44     +32     +2.23057e-18     +7.05304
+5      +45     +32     +7.36635e-18     +6.74261
+5      +46     +32     -4.87383e-18     +6.42216
+5      +47     +32     +1.48456e-18     +6.09371
+5      +48     +32     +2.08304e-18     +5.75907
+5      +49     +32     +3.04694e-18     +5.41987
+5      +50     +32     +3.74541e-18     +5.07753
+5      +51     +32     -3.95259e-18     +4.73327
+5      +52     +32     +5.49139e-19     +4.38809
+5      +53     +32     +4.45419e-19     +4.04284
+5      +54     +32     +4.36058e-18     +3.69816
+5      +55     +32     +5.72009e-19     +3.35456
+5      +56     +32     -3.63080e-18     +3.01237
+5      +57     +32     -4.54051e-19     +2.67181
+5      +58     +32     +1.41788e-18     +2.33299
+5      +59     +32     -1.38837e-18     +1.99589
+5      +60     +32     -2.02931e-18     +1.66042
+5      +61     +32     +3.31999e-18     +1.32642
+5      +62     +32     +2.63908e-19     +0.993663
+5      +63     +32     +2.85852e-18     +0.661883
+6      +1     +32     -2.71152e-18     +0.773237
+6      +2     +32     +2.79308e-18     +1.16093
+6      +3     +32     -4.22838e-19     +1.54988
+6      +4     +32     -1.54441e-18     +1.94045
+6      +5     +32     +1.94460e-18     +2.33293
+6      +6     +32     +2.40226e-18     +2.72755
+6      +7     +32     -4.27799e-18     +3.12448
+6      +8     +32     -4.08472e-18     +3.52376
+6      +9     +32     +2.67212e-18     +3.92531
+6      +10     +32     -8.41927e-18     +4.32893
+6      +11     +32     +1.99247e-18     +4.73425
+6      +12     +32     -2.90327e-18     +5.14075
+6      +13     +32     -7.41286e-18     +5.54767
+6      +14     +32     +2.85959e-18     +5.95408
+6      +15     +32     +4.09986e-18     +6.35880
+6      +16     +32     +6.72186e-19     +6.76041
