   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
-0.0024163300       +0.074756733       -0.00057994085       +0.0054037978       -0.00065701251       +0.0012607352       
-0.00090952770       +0.046720479       -0.0016116877       +0.067425762       +0.0028254048       -0.00085078740       
+0.00079069737       -0.039063031       +0.0020655891       -0.077700595       +0.0026320868       +0.0014504224       
-0.00052820343       +0.025600310       -0.0016524421       +0.026905884       -0.0031446754       +0.00035829596       
-0.00070211892       +0.0057184030       +0.0018947061       -0.075070399       -0.0032122269       +0.0021332660       
+0.0016009789       -0.040979378       -0.0017497967       +0.067843479       -0.00046004110       -0.0022545337       
-0.00074687106       +0.038347659       +0.00016932966       +0.024330860       +0.00016848909       +0.0024441380       
+0.0010265217       -0.052292890       +0.0014193803       -0.027728803       +0.0032521278       +0.0017631516       
-0.0021006472       +0.068707424       +0.00042801708       -0.033845193       -0.00086931451       +0.0016152509       
-0.0017846656       +0.044209957       +0.00085571091       -0.0065410870       +0.00013562311       -0.00019775106       
+5.9805562e-05       -0.023621928       -0.00095588780       +0.0059250661       -0.0031361961       -0.0012573855       
-0.0014695304       +0.068581708       +0.0013838907       -0.041543414       +0.00070373363       -0.00059096319       
+0.0012431811       -0.026762588       +0.0014265421       -0.065865832       +0.0031680887       +0.00061787596       
+0.0017117324       -0.054260273       +0.00042582677       +0.012714623       -5.1285127e-05       +0.0015442493       
-0.00063728640       -0.0094384220       +0.00095385790       -0.040677102       -0.0036288323       -0.00070801356       
-0.00045040829       +0.045790558       +0.00093352303       -0.033043950       +0.0026898830       -0.00033122226       
+0.0017843497       -0.053802767       -0.00051844888       +0.041036476       -0.0029477712       +0.0011434037       
-0.0012106809       +0.035244538       +0.0015718645       -0.026061611       +0.0019951838       +0.0022915026       
+0.00066387234       -0.026970958       -0.0018856324       +0.036798134       +0.00014195903       +0.0017406818       
-0.00080886520       +0.041171976       +0.00081018943       +0.0016631389       +0.00022668760       +0.00047179914       
+0.00091943642       -0.032739923       +0.0023511087       -0.084129552       +0.0020797485       +0.0023458911       
+0.00034845187       +0.012117233       -0.00070048098       +0.045747244       +0.0010858340       -0.0010148400       
+0.0013026792       -0.056409036       -0.0016870016       +0.066548429       +0.0034664704       +0.00036565124       
-0.0019969676       +0.067345310       -0.0014344024       +0.057488005       -0.0026516959       -0.00078434136       
-0.00053776404       -0.0028403759       +0.0016337702       -0.033250213       -0.00078585708       +0.00083790556       
+0.00089056132       -0.048791873       -0.0014917348       +0.062579515       +0.0022978094       -9.0898140e-05       
-0.0014213802       +0.061509004       -0.0015142386       +0.060896418       +0.0031494662       -0.00051719944       
+0.00062092431       -0.0047177808       +0.0021161153       -0.079080045       +0.0027522854       +0.0016733888       
+0.00074547501       -0.018277815       +0.0012269861       -0.067150710       -0.0036320563       -0.00071574076       
+0.00028449219       -0.032664199       +0.00089237813       -0.0057892341       +0.0010862571       -0.0022965638       
-0.00089887130       +0.013487158       +0.0016236811       -0.030543804       +0.0016292419       -5.4934330e-06       
+0.00062185810       -0.00077020970       -0.0011692874       +0.060166229       -0.00019336609       +0.0016290139       
-2.3893079e-05       -0.0058519060       +0.00046330771       +0.019007243       -0.0020619395       -0.0013097491       
+0.0010888259       -0.010528793       -0.00058398926       -0.0015433912       +0.0021502421       +0.0012316897       
+0.00040303809       -0.028030942       -0.0017940089       +0.075935921       -0.0031321296       -0.00092982479       
-0.00040383157       +0.022839973       +0.00050761506       +0.016166019       -0.0012057926       +0.0018048339       
+0.00069565464       -0.049724665       -0.0011512447       +0.025306442       -0.0016408796       +0.0024208009       
-0.0013741436       +0.035108306       +0.00026333460       -0.036699319       -0.0025885992       -0.0012940444       
-0.0016244814       +0.055189348       +0.0011802089       -0.059331530       +0.00043354751       -0.00096174100       
+0.0019831482       -0.064352305       -0.0013005345       +0.024854758       +0.00063829086       +0.0022673077       
-0.00056357069       -0.0025249058       -0.00016601373       +0.032347302       +0.0035969993       -0.00056043155       
-0.00080395620       +0.039417816       -0.0021750270       +0.077609484       -0.00048990701       +0.0019567312       
-0.0010031231       +0.061940289       +0.00027799858       +0.00045323675       +0.0021531875       -0.0010054985       
-0.00084714947       -0.00030753314       -0.00089379796       +0.043057301       +0.0017106532       +0.0015230922       
-0.00020264967       +0.0068866851       +0.0014823821       -0.017623983       +0.0011789229       -0.00065238172       
-0.0013119613       +0.062302051       -0.0016394948       +0.053732477       +0.0026136099       -0.00064494691       
-0.0010957967       +0.017538262       -0.00040208796       +0.038888138       +0.0027885946       -0.00090121108       
-0.0010485411       +0.060674426       +0.00068160496       -0.033947832       -0.0022948203       -0.0020200115       
+0.00044651137       -0.016401287       -0.0010327316       +0.063623790       +0.00043760580       +0.0024045369       
-0.00084893394       +0.036741123       -0.00073995207       +0.052858240       +0.0025911304       +0.00072001921       
+0.0020136156       -0.063126502       +0.0017555982       -0.055693836       -0.0015521043       -0.0015848796       
-0.00010723595       -0.015746307       -0.0012477128       +0.062932644       +3.7550971e-05       +0.00039073184       
+0.0010372782       -0.061563855       -0.00054764011       +0.0061334423       -0.0025190765       +0.00081480048       
+0.0015819991       -0.029940126       -0.00087984758       +0.043915508       +0.0024170627       +0.0011223268       
+0.0011219383       -0.022242900       +0.00086332131       -0.053436241       +0.0035620239       -0.00048165169       
-0.0010590523       +0.033402720       +0.0011677902       -0.0085189235       +0.0013466172       +0.0022292707       
+0.0018102563       -0.040449019       +0.00055034662       -0.035606064       +0.0022069980       -0.0019340959       
-0.00045746401       +0.035245303       +0.0014131318       -0.024387539       +0.0025521216       +0.00038033240       
-0.00013704208       +0.029865347       +0.0016384309       -0.041616700       -0.00066536714       +0.00031598196       
+0.0011553449       -0.028664600       -0.0022189580       +0.079001032       -0.00090313908       -0.0021607869       
-0.0025801691       +0.079474660       -0.00065225291       +0.023288701       +0.0032752293       -0.0013700937       
+0.00079476004       +0.0071245649       +0.00025856106       -0.00021594406       -0.00046273525       +0.0015057717       
-0.0011344441       +0.057768920       +0.0017009257       -0.052516027       +0.00034625888       +0.00067837981       
-0.0011669800       +0.0065588522       +0.00047649961       -0.0086603252       +0.0030060232       -0.0019822183       
-0.0013294452       +0.061814790       +0.00010028376       +0.019042991       +0.00088232199       +0.0011974850       
+0.00065522782       +0.0088323141       -0.00010161574       -0.013195804       +0.0018737967       +0.0020575822       
-0.0020420286       +0.058874819       +0.00083776822       -0.045086386       +0.0031980357       -0.0012373926       
+0.0015771251       -0.026120757       +0.00084382565       -0.015156259       -7.8310389e-05       -0.0020515199       
-0.0018570947       +0.043285211       -0.0011804055       +0.049887116       +0.0031447552       -0.00095504513       
-0.0012592114       +0.060581003       -0.0016470774       +0.056763522       +0.0023778860       +0.0019305140       
-0.00090494703       +0.034645918       +0.0024133939       -0.082015587       +0.0016096501       -3.9605176e-05       
-0.0022226890       +0.072779114       +0.00072494900       -0.0062020498       +0.0025124351       +2.1266560e-05       
+0.0014571443       -0.061719596       -0.0018571029       +0.056505229       +0.00079675774       +0.00084564658       
+0.0018210704       -0.064352265       +0.00073563198       -0.00069702536       -0.0031765337       -0.0024132488       
-0.0010751271       +0.049965960       -0.0020020803       +0.054525158       -0.0020260358       -0.00019502311       
-0.00086648298       +0.020253699       +4.6095550e-05       -0.033502772       -0.0031395094       -0.0016748178       
+0.0016940759       -0.055373320       -0.00041615451       +0.039152223       +0.0014152538       +0.00012037035       
+0.00077983214       -0.00015006053       -0.0015145243       +0.058575527       +0.0035285615       -0.0013363750       
-0.0017680644       +0.051982250       +0.0019867400       -0.061318643       -0.0025753445       +0.0018167607       
+0.00057834385       -0.021856192       -0.0016429515       +0.077368149       -0.0012390784       +0.0013816203       
+0.00035376312       -0.037448334       +0.00031998516       -0.031602086       +0.00077837093       -0.0020807458       
+0.0018811393       -0.046080519       -0.00012302720       +0.024860783       +0.0014216510       +0.00012680450       
-0.0016842370       +0.043767906       +0.0011570110       -0.015670364       -0.0012383898       -0.0016126234       
+0.0024750085       -0.066690319       +0.00046839960       -0.010173855       +0.00087091004       -0.0012406840       
-0.0011731740       +0.010405837       -0.0012556414       +0.043076979       -0.00010236287       -0.00035386177       
-0.0012385120       +0.036432610       +0.0022449788       -0.060676499       -0.0027402228       -0.0015043187       
+0.0013634105       -0.026892159       +0.0019113267       -0.054574396       +0.0031888436       +0.0023495680       
-0.0011059549       +0.030698032       +0.00045572501       +0.016505420       +0.0015394796       +0.00013287861       
+0.0019331302       -0.043336015       -6.1526457e-05       -0.014807811       +0.0010523133       +0.0014185935       
+0.0022710435       -0.064113183       -0.00064177429       +0.0053268678       +0.00033253614       +0.0018567965       
-0.0015729693       +0.057362194       -0.0019460976       +0.069819984       -0.0019322712       +0.00064573401       
+0.00076326562       -0.049341510       -0.0016268620       +0.047911870       -0.0035089849       +0.0021585002       
-0.00091066116       +0.045585120       +0.0018502726       -0.043951600       -0.0026247622       -0.0024871141       
-0.00096187066       +0.039938434       +0.0015748733       -0.026185212       -0.0025399604       -0.00093519212       
-0.00062035909       +0.011197727       +0.00079413909       -0.055860688       +0.0027697055       +3.5784654e-06       
-0.0017944471       +0.071419566       -0.00070742915       +0.040563953       -0.0031086733       -0.00015615439       
+0.0019240742       -0.069817420       -0.0015751234       +0.057453760       +0.00064013520       +0.0013855840       
+9.2919562e-05       -0.028897067       +0.0017528251       -0.057504078       +0.0037400273       +0.0021048341       
+0.0015644107       -0.050058543       +0.0019205534       -0.047081728       +0.0034407740       +0.00054598138       
+0.00026859606       +0.018256587       +0.0012807664       -0.025791772       -0.0024763450       -0.00029466123       
+0.0011998866       -0.067152935       -0.00065374460       +0.017560378       -0.0034936339       -0.00094606652       
+0.00052326305       +0.0068780717       -0.0012283078       +0.057410003       +0.0010612426       +0.0022986993       
+0.0014714375       -0.074204842       -0.00013179509       -0.0020693753       -0.0016598997       -0.00078198542       
-0.0016719750       +0.027983004       +0.00074006271       -0.016106526       -0.00010364482       +0.0020986694       
-0.0022839462       +0.066853575       -0.00019321618       -0.011190614       -0.0028207878       -0.0023488389       
+0.0018690947       -0.081865560       +0.00041018779       -0.0068387573       +0.0022031468       -0.00063986824       
