  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
        1.00892      0.0350004      0.0941067      0.0946471       0.218485        98.7218         43.694        42.9925        1.61838       0.199573       0.200408      0.0274199       0.867262        3.83316        3.86115        150.382        1.47224        1.44088      -0.490734          10000          10000
        1.02485      0.0350004      0.0935328      0.0940852       0.218497         98.727        43.6325        42.9896        1.62491       0.199571       0.200402      0.0274317       0.867635         3.7866        3.81558        150.334        1.45611        1.42812      -0.499931          10000          10000
        1.04078      0.0350004       0.092962      0.0935246       0.218509        98.7323        43.5539        43.0033        1.63159       0.199571       0.200392      0.0274438       0.868019        3.74055        3.77046        150.285        1.43918        1.41621      -0.509183          10000          10000
        1.05672      0.0350004      0.0923947      0.0929651       0.218521        98.7377        43.4578        43.0343        1.63842       0.199573       0.200381      0.0274563       0.868415        3.69503         3.7257        150.234        1.42144        1.40515      -0.518488          10000          10000
        1.07265      0.0350004      0.0918315      0.0924063       0.218533        98.7433         43.344        43.0835         1.6454        0.19958       0.200371      0.0274692       0.868823        3.65001        3.68126        150.182        1.40285        1.39494      -0.527849          10000          10000
        1.08859      0.0350004      0.0912725      0.0918479       0.218546        98.7489        43.2129        43.1501        1.65253       0.199593       0.200365      0.0274825       0.869242         3.6055        3.63704        150.127        1.38344        1.38549      -0.537263          10000          10000
        1.10452      0.0350004      0.0907183      0.0912895       0.218558        98.7546        43.0652        43.2345        1.65982       0.199612       0.200358      0.0274961       0.869674        3.56154         3.5931        150.071        1.36327        1.37685      -0.546731          10000          10000
        1.12046      0.0350004      0.0901691       0.090731       0.218571        98.7605        42.9017        43.3364        1.66725       0.199638       0.200359      0.0275102       0.870118        3.51812        3.54928        150.013        1.34235        1.36891      -0.556253          10000          10000
        1.13639      0.0350004      0.0896254       0.090172       0.218584        98.7664        42.7242        43.4535        1.67485       0.199672       0.200369      0.0275246       0.870575        3.47525        3.50554        149.954        1.32078        1.36152      -0.565828          10000          10000
        1.15233      0.0350004      0.0890875      0.0896123       0.218598        98.7724        42.5346        43.5847         1.6826       0.199715       0.200385      0.0275395       0.871045        3.43295        3.46189        149.892        1.29865        1.35464      -0.575457          10000          10000
        1.16826      0.0350004      0.0885555      0.0890517       0.218611        98.7786        42.3355         43.727         1.6905       0.199769        0.20041      0.0275547       0.871528        3.39118        3.41832        149.829        1.27606        1.34809      -0.585138          10000          10000
         1.1842      0.0350004      0.0880298      0.0884901       0.218625        98.7848        42.1291        43.8789        1.69857       0.199827       0.200442      0.0275704       0.872024        3.35007        3.37483        149.764        1.25319         1.3418      -0.594872          10000          10000
        1.20013      0.0350004      0.0875105      0.0879274       0.218639        98.7912        41.9186         44.036        1.70679       0.199885       0.200478      0.0275866       0.872535        3.30974        3.33146        149.696        1.23025        1.33559      -0.604658          10000          10000
        1.21607      0.0350004      0.0869976      0.0873636       0.218653        98.7977        41.7088        44.1958        1.71518       0.199946       0.200523      0.0276032       0.873059        3.27008        3.28816        149.627        1.20742        1.32928      -0.614497          10000          10000
          1.232      0.0350004      0.0864912      0.0867988       0.218668        98.8042        41.5015         44.354        1.72372        0.20001        0.20057      0.0276202       0.873598        3.23111        3.24504        149.556        1.18479        1.32275      -0.624387          10000          10000
        1.24793      0.0350004      0.0859915      0.0862328       0.218683        98.8109        41.2855        44.5206        1.73243        0.20008        0.20063      0.0276377       0.874151        3.19279        3.20194        149.483        1.16179        1.31634      -0.634328          10000          10000
