  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
         5.8996       0.149974       0.607264       0.659241     0.00525899        0.18934         100.23        111.026        1.18887        1.93696        2.05079    0.000206227     0.00222688        34.0445        37.8949        23.9813        -5.5294       -6.30323        -5.3283           1000           1000
        5.99959       0.149974       0.617137       0.670197     0.00537584       0.193547         100.23        111.026        1.18887        1.93702        2.05071    0.000206227     0.00222689        35.1594        39.1665        25.0588       -5.62205       -6.41086        -5.4508           1000           1000
        6.09958       0.149974       0.627014       0.681158     0.00549278       0.197757         100.23        111.026        1.18887        1.93708        2.05063    0.000206228     0.00222689        36.2929        40.4596        26.1608       -5.71469       -6.51849        -5.5733           1000           1000
        6.19957       0.149974       0.636897       0.692122      0.0056098        0.20197         100.23        111.026        1.18887        1.93713        2.05055    0.000206229      0.0022269        37.4449        41.7743        27.2872       -5.80732       -6.62614        -5.6958           1000           1000
        6.29956       0.149974       0.646784       0.703091     0.00572689       0.206186         100.23        111.026        1.18887        1.93719        2.05047    0.000206229     0.00222691        38.6154        43.1105        28.4381       -5.89995       -6.73379       -5.81829           1000           1000
        6.39955       0.149974       0.656676       0.714064     0.00584406       0.210404         100.23        111.026        1.18887        1.93724        2.05039     0.00020623     0.00222691        39.8044        44.4683        29.6136       -5.99257       -6.84145       -5.94079           1000           1000
        6.49954       0.149974       0.666571        0.72504     0.00596129       0.214625         100.23        111.026        1.18887         1.9373        2.05031    0.000206231     0.00222692        41.0119        45.8477        30.8135       -6.08519       -6.94911       -6.06328           1000           1000
        6.59954       0.149974       0.676471        0.73602     0.00607858       0.218848         100.23        111.026        1.18887        1.93736        2.05023    0.000206231     0.00222693        42.2379        47.2486        32.0379        -6.1778       -7.05679       -6.18578           1000           1000
        6.69953       0.149974       0.686374       0.747002     0.00619593       0.223073         100.23        111.026        1.18887        1.93741        2.05015    0.000206232     0.00222693        43.4824        48.6711        33.2867       -6.27041       -7.16448       -6.30827           1000           1000
        6.79952       0.149974       0.696281       0.757989     0.00631334         0.2273         100.23        111.026        1.18887        1.93747        2.05007    0.000206233     0.00222694        44.7454        50.1152        34.5601       -6.36301       -7.27217       -6.43076           1000           1000
        6.89951       0.149974       0.706191       0.768978      0.0064308       0.231529         100.23        111.026        1.18887        1.93752        2.04999    0.000206233     0.00222695        46.0268        51.5809        35.8579       -6.45561       -7.37987       -6.55325           1000           1000
         6.9995       0.149974       0.716105        0.77997     0.00654831        0.23576         100.23        111.026        1.18887        1.93758        2.04991    0.000206234     0.00222696        47.3268        53.0681        37.1802        -6.5482       -7.48758       -6.67574           1000           1000
        7.09949       0.149974       0.726022       0.790965     0.00666587       0.239992         100.23        111.026        1.18887        1.93764        2.04983    0.000206235     0.00222696        48.6453        54.5769         38.527       -6.64079        -7.5953       -6.79822           1000           1000
        7.19948       0.149974       0.735942       0.801962     0.00678347       0.244226         100.23        111.026        1.18887        1.93769        2.04975    0.000206235     0.00222697        49.9823        56.1073        39.8983       -6.73337       -7.70302       -6.92071           1000           1000
        7.29947       0.149974       0.745865       0.812962     0.00690112       0.248462         100.23        111.026        1.18887        1.93775        2.04967    0.000206236     0.00222698        51.3377        57.6593        41.2941       -6.82594       -7.81076       -7.04319           1000           1000
        7.39946       0.149974       0.755791       0.823965     0.00701881       0.252699         100.23        111.026        1.18887        1.93781         2.0496    0.000206237     0.00222699        52.7117        59.2328        42.7143       -6.91851        -7.9185       -7.16567           1000           1000
        7.49945       0.149974       0.765719       0.834969     0.00713653       0.256937         100.23        111.026        1.18887        1.93786        2.04952    0.000206238       0.002227        54.1041         60.828        44.1591       -7.01108       -8.02625       -7.28816           1000           1000
        7.59944       0.149953       0.775758       0.845947     0.00724546       0.260878        101.296        110.721        1.10297        1.92427        2.03248     0.00021765     0.00235006        55.9241        62.9612        43.1307       -7.23359       -8.17976       -6.48913           1000           1000
        7.69942        0.14996       0.785937       0.856776     0.00733197       0.263986        102.686        109.195       0.886229        1.92465        2.03221    0.000248526     0.00268351        57.3901        64.5922        38.6798        -7.4313       -8.17122        -4.5671           1000           1000
        7.79941       0.149966        0.79626       0.867454     0.00739588       0.266282        104.097         107.65       0.691973        1.92506        2.03195    0.000348992     0.00376838         58.895        66.2205        28.0271       -7.63426       -8.15681       -2.42411           1000           1000
         7.8994       0.149971       0.806727       0.877979     0.00743704       0.267759        105.527        106.087       0.548689        1.92549        2.03172    0.000481075      0.0051947          60.44         67.845        20.5589        -7.8426       -8.13653       -1.14047           1000           1000
        7.99939       0.149975        0.81734       0.888349     0.00745539       0.268417        106.978        104.506       0.506367        1.92595         2.0315    0.000628428      0.0067859        62.0259        69.4645        15.8161       -8.05646       -8.11041      -0.392369           1000           1000
        8.09939       0.149977       0.828101       0.898562     0.00745093       0.268254        108.449        102.907       0.590972        1.92645        2.03131     0.00078536     0.00848054        63.6537        71.0777        12.6406       -8.27597       -8.07846      0.0719971           1000           1000
        8.19938       0.149977       0.839013       0.908616     0.00742372       0.267274        109.941        101.291       0.764227        1.92697        2.03114    0.000949667      0.0102548        65.3244        72.6834        10.3773       -8.50128        -8.0407       0.375804           1000           1000
        8.29937       0.149976       0.850076        0.91851     0.00737393       0.265482        111.455        99.6587       0.982525        1.92753        2.03099      0.0011204      0.0120984         67.039        74.2803        8.67835       -8.73254       -7.99717       0.580604           1000           1000
        8.39936       0.149974       0.861293       0.928241      0.0073018       0.262888         112.99        98.0096        1.22387        1.92813        2.03086     0.00129713      0.0140067        68.7986        75.8673        7.35003       -8.96988       -7.94789       0.719527           1000           1000
        8.49935        0.14997       0.872665       0.937808     0.00720774       0.259505        114.547        96.3442        1.47865        1.92877        2.03076     0.00147967      0.0159775         70.604        77.4432        6.27837       -9.21346        -7.8929       0.811737           1000           1000
        8.59934       0.149964       0.884195       0.947208     0.00709227       0.255352        116.126        94.6629        1.74239        1.92945        2.03068     0.00166794      0.0180101        72.4564        79.0066        5.39268       -9.46343       -7.83225       0.869027           1000           1000
        8.69932       0.149956       0.895884       0.956441     0.00695615       0.250458        117.728        92.9661        2.01286        1.93018        2.03062     0.00186193      0.0201043        74.3567        80.5566        4.64716       -9.71993       -7.76598       0.899042           1000           1000
        8.79931       0.149946       0.907734       0.965504     0.00680035       0.244856        119.353         91.254        2.28884        1.93095        2.03059     0.00206166      0.0222602        76.3061        82.0918        4.01105       -9.98312       -7.69414       0.906958           1000           1000
